Canada,1880,F,15,64,2.55,2.52,0.03,0,1230
Canada,1885,F,15,64,2.78,2.74,0.04,0,1341
Canada,1890,F,15,64,3.03,2.96,0.06,0,1401
Canada,1895,F,15,64,3.17,3.08,0.08,0.01,1472
Canada,1900,F,15,64,4.08,3.58,0.46,0.05,1473
Canada,1905,F,15,64,4.48,3.78,0.63,0.07,1738
Canada,1910,F,15,64,4.95,3.96,0.91,0.08,2046
Canada,1915,F,15,64,5.37,4.17,1.11,0.1,2353
Canada,1920,F,15,64,5.77,4.38,1.27,0.12,2555
Canada,1925,F,15,64,6.12,4.52,1.45,0.15,2701
Canada,1930,F,15,64,6.67,4.78,1.71,0.17,3097
Canada,1935,F,15,64,7.21,5.01,2.01,0.19,3292
Canada,1940,F,15,64,7.46,5.1,2.16,0.2,3651
Canada,1945,F,15,64,7.78,5.2,2.34,0.25,3888
Canada,1950,F,15,64,7.99,5.28,2.47,0.25,4252
Canada,1955,F,15,64,8.28,5.34,2.63,0.31,4679
Canada,1960,F,15,64,8.64,5.42,2.85,0.38,5205
Canada,1965,F,15,64,8.81,5.49,2.91,0.42,5776
Canada,1970,F,15,64,9.36,5.59,3.24,0.53,6665
Canada,1975,F,15,64,9.87,5.6,3.61,0.66,7510
Canada,1980,F,15,64,10.26,5.67,3.87,0.71,8279
Canada,1985,F,15,64,10.16,5.74,3.92,0.5,8798
Canada,1990,F,15,64,10.68,5.8,4.25,0.62,9359
Canada,1995,F,15,64,11.11,5.83,4.52,0.77,9859
Canada,2000,F,15,64,11.44,5.87,4.68,0.88,10426
Canada,2005,F,15,64,12.64,5.92,5.29,1.43,11109
Canada,2010,F,15,64,12.91,5.94,5.41,1.57,11673
Denmark,1870,F,15,64,2.53,2.36,0.17,0,552
Denmark,1875,F,15,64,2.59,2.41,0.18,0,609
Denmark,1880,F,15,64,2.65,2.46,0.19,0,606
Denmark,1885,F,15,64,2.73,2.52,0.21,0,667
Denmark,1890,F,15,64,2.82,2.59,0.23,0,655
Denmark,1895,F,15,64,2.9,2.65,0.25,0,731
Denmark,1900,F,15,64,2.97,2.7,0.27,0,752
Denmark,1905,F,15,64,3.04,2.75,0.28,0,839
Denmark,1910,F,15,64,3.22,2.83,0.39,0,856
Denmark,1915,F,15,64,3.17,2.85,0.31,0,966
Denmark,1920,F,15,64,3.54,2.97,0.57,0,1045
Denmark,1925,F,15,64,3.82,3.06,0.76,0,1125
Denmark,1930,F,15,64,4.15,3.16,0.98,0.01,1190
Denmark,1935,F,15,64,4.48,3.25,1.2,0.03,1265
Denmark,1940,F,15,64,4.76,3.32,1.4,0.04,1330
Denmark,1945,F,15,64,5.07,3.32,1.7,0.05,1357
Denmark,1950,F,15,64,5.36,3.44,1.86,0.06,1396
Denmark,1955,F,15,64,4.29,3.28,0.9,0.11,1432
Denmark,1960,F,15,64,4.72,3.35,1.24,0.12,1484
Denmark,1965,F,15,64,5.58,3.48,1.95,0.15,1550
Denmark,1970,F,15,64,6.64,3.96,2.48,0.2,1583
Denmark,1975,F,15,64,7.5,4.33,2.92,0.24,1612
Denmark,1980,F,15,64,8.37,4.69,3.38,0.3,1646
Denmark,1985,F,15,64,9.11,5.02,3.67,0.41,1684
Denmark,1990,F,15,64,10.21,5.42,4.24,0.55,1710
Denmark,1995,F,15,64,10.84,5.63,4.58,0.63,1737
Denmark,2000,F,15,64,11.39,5.75,4.89,0.76,1759
Denmark,2005,F,15,64,11.77,5.85,5,0.92,1775
Denmark,2010,F,15,64,12.03,6.01,5.03,0.99,1786
Finland,1870,F,15,64,0.1,0.09,0,0,568
Finland,1875,F,15,64,0.12,0.12,0,0,623
Finland,1880,F,15,64,0.15,0.14,0,0,647
Finland,1885,F,15,64,0.19,0.18,0,0,677
Finland,1890,F,15,64,0.26,0.25,0,0,718
Finland,1895,F,15,64,0.34,0.34,0.01,0,753
Finland,1900,F,15,64,1.09,1.03,0.05,0,826
Finland,1905,F,15,64,1.47,1.38,0.08,0.01,837
Finland,1910,F,15,64,1.67,1.56,0.1,0.01,941
Finland,1915,F,15,64,2.02,1.87,0.14,0.02,977
Finland,1920,F,15,64,2.38,2.19,0.17,0.02,1217
Finland,1925,F,15,64,2.71,2.47,0.21,0.02,1071
Finland,1930,F,15,64,3.09,2.8,0.27,0.03,1065
Finland,1935,F,15,64,3.47,3.08,0.35,0.04,1182
Finland,1940,F,15,64,3.57,3.15,0.38,0.04,1276
Finland,1945,F,15,64,3.69,3.2,0.43,0.06,1277
Finland,1950,F,15,64,3.94,3.31,0.56,0.08,1337
Finland,1955,F,15,64,4.03,3.36,0.6,0.07,1387
Finland,1960,F,15,64,4.18,3.4,0.7,0.08,1437
Finland,1965,F,15,64,4.93,3.51,1.3,0.12,1529
Finland,1970,F,15,64,5.95,3.85,1.92,0.18,1561
Finland,1975,F,15,64,6.99,4.1,2.64,0.25,1610
Finland,1980,F,15,64,7.92,4.37,3.24,0.31,1627
Finland,1985,F,15,64,7.89,4.57,2.99,0.34,1666
Finland,1990,F,15,64,8.51,4.82,3.29,0.39,1666
Finland,1995,F,15,64,9.38,5.05,3.66,0.67,1687
Finland,2000,F,15,64,10.08,5.24,4.01,0.83,1714
Finland,2005,F,15,64,10.67,5.45,4.3,0.92,1732
Finland,2010,F,15,64,10.97,5.64,4.39,0.94,1746
France,1870,F,15,64,0.64,0.64,0,0,11905
France,1875,F,15,64,0.73,0.72,0,0,12109
France,1880,F,15,64,0.97,0.97,0,0,12222
France,1885,F,15,64,1.48,1.42,0.06,0,12367
France,1890,F,15,64,1.67,1.66,0,0,12550
France,1895,F,15,64,1.92,1.92,0.01,0,12685
France,1900,F,15,64,2.13,2.12,0.01,0,12843
France,1905,F,15,64,2.35,2.31,0.04,0,13669
France,1910,F,15,64,2.55,2.48,0.07,0,13135
France,1915,F,15,64,2.78,2.69,0.09,0,14374
France,1920,F,15,64,3.06,2.93,0.13,0,13998
France,1925,F,15,64,3.33,3.15,0.17,0.01,14367
France,1930,F,15,64,3.47,3.23,0.23,0.01,14472
France,1935,F,15,64,3.58,3.28,0.28,0.01,14016
