10581-1,Forest: Ducks,2015,Duplo,13
10582-1,Forest: Animals,2015,Duplo,39
10583-1,Forest: Fishing Trip,2015,Duplo,30
10584-1,Forest: Park,2015,Duplo,102
10585-1,Mom and Baby,2015,Duplo,13
10586-1,Ice Cream Truck,2015,Duplo,11
10587-1,Café,2015,Duplo,51
10589-1,Rally Car,2015,Duplo,13
10590-1,Airport,2015,Duplo,29
10591-1,Fire Boat,2015,Duplo,19
10592-1,Fire Truck,2015,Duplo,26
10593-1,Fire Station,2015,Duplo,104
10594-1,Sofia the First Royal Stable,2015,Duplo,38
10595-1,Sofia the First Royal Castle,2015,Duplo,87
10596-1,Disney Princess Collection,2015,Duplo,63
10597-1,Mickey & Minnie Birthday Parade,2015,Duplo,24
10599-1,Batman Adventure,2015,Duplo,46
10600-1,Disney Pixar Cars Classic Race,2015,Duplo,29
1060-1,Road Plates and Signs,1981,Educational,30
10601-1,Delivery Vehicle,2015,Duplo,19
10602-1,Camping,2015,Duplo,37
10603-1,My First Bus,2015,Duplo,17
10604-1,Jake and the Never Land Pirates Treasure Island,2015,Duplo,25
10605-1,Doc McStuffins Rosie the Ambulance,2015,Duplo,16
10606-1,Doc McStuffins Backyard Clinic,2015,Duplo,39
10607-1,Spider-Man Web-Bike Workshop,2015,Duplo,13
10608-1,Spider-Man Spider Truck Adventure,2015,Duplo,28
1061-1,Single Disk Pack,2000,Technic,31
10615-1,My First Tractor,2015,Duplo,12
10616-1,My First Playhouse,2015,Duplo,25
10617-1,My First Farm,2015,Duplo,26
10618-1,LEGO DUPLO Creative Building Box,2015,Duplo,69
1062-1,{Town Vehicles},1980,Educational,158
10622-1,Large Creative Box,2015,Duplo,193
10623-1,Basic Bricks Large,2015,Duplo,1
1063-1,Community Workers,1985,Educational,169
1064-1,Dacta Buildings,1981,Educational,9
1065-1,House Accessories - 182 elements,1985,Educational,196
1066-1,36 Little People + Accessories,1982,Educational,174
1067-1,Community Vehicles,1988,Educational,251
1068-1,Air Patrol,1999,Town,20
1070-1,Stunt Flyer,1999,Town,20
1075-1,LEGO People Supplementary Set,1980,Educational,256
1076-1,Advent Calendar 1999,1999,Seasonal,228
1077-1,Supplementary Set,1976,Educational,170
10801-1,Baby Animals,2016,Duplo,13
10802-1,Savanna,2016,Duplo,15
10803-1,Arctic,2016,Duplo,32
10804-1,Jungle,2016,Duplo,86
10805-1,Around the World,2016,Duplo,148
10806-1,Horses,2016,Duplo,20
10808-1,Little Plane,2016,Duplo,13
10810-1,Push Train,2016,Duplo,46
10813-1,Big Construction Site,2016,Duplo,48
10814-1,Tow Truck Set,2016,Duplo,26
10818-1,My First Truck,2016,Duplo,29
10818-1,My First Truck,2016,Duplo,29
10824-1,Miles' Space Adventures,2017,Duplo,23
10825-1,Miles' Exo-Flex Suit,2016,Duplo,37
10827-1,Mickey and Friends Beach House,2016,Duplo,48
10829-1,Mickey's Workshop,2016,Duplo,18
10830-1,Minnie's Cafe,2016,Duplo,27
1083-1,Supplementary Pack,1986,Educational,106
10831-1,My First Caterpillar,2016,Duplo,19
10847-1,My First Number Train,2017,Duplo,19
10849-1,My First Plane,2017,Duplo,10
10852-1,My First Bird,2017,Duplo,7
1088-1,Road Burner,1999,Town,25
1089-1,Lego Basic Figures - 24 elements,1985,Educational,24
1090-1,TECHNIC Control I,1986,Technic,397
